UNIT,STORE,PROOF_NO,TYPE_OF_PROOF,SAMPLE_SIZE,TYPE_OF_TEST,TEST_PARAM,GT_PASS_CONDITION,EQ_PASS_CONDITION,LS_PASS_CONDITION,GT_REJECT_CONDITION,EQ_REJECT_CONDITION,LS_REJECT_CONDITION,GT_REPROOF_CONDITION,EQ_REPROOF_CONDITION,LS_REPROOF_CONDITION,GT_DOUBLE_REPROOF_CONDITION,EQ_DOUBLE_REPROOF_CONDITION,LS_DOUBLE_REPROOF_CONDITION,DATA_ENTRY,GT_INVESTIGATION,EQ_INVESTIGATION,LS_INVESTIGATION
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Checking of resistance against jolting,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at upper limit (5cm) after jolting test.,Functioning of Detonator,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at lower limit(0.5cm),No Ignition at lower limit,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after holding in the desiccators,Burning of igniting primers,99,99,,2,,,,2,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after jolting test.,Functioning of Detonator,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at lower limit(0.5cm),No Ignition at lower limit,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after holding in the desiccators,Burning of igniting primers,,100,,1,1,,,,,,,,0,,,
U-03,Cap 78mg QFGG,First Proof,STATIC,20,Functioning Proof,Functioning of Cap,,20,,1,,,,,,,1,,0,,,
U-03,Cap 78mg QFGG,First Proof,STATIC,10,Drop test(from every 10th lot),Sustaining of samples,,10,,1,,,,,,,1,,0,,,
U-03,Cap 78mg QFGG,Double Reproof,STATIC,40,Functioning Proof ,Functioning of Cap,,40,,1,1,,,,,,,,0,,,
U-03,Cap 78mg QFGG,Double Reproof,STATIC,20,Drop test(  from every 10th lot),Sustaining of samples,,20,,1,1,,,,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),First Proof,STATIC,8,Drop Test,Sustaining of samples,,8,,1,1,,,,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),First Proof,STATIC,13,Sensitivity test,Functioning of Cap,,13,,1,1,,,1,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),Reproof,STATIC,13,Sensitivity test,Functioning of Cap,,13,,1,1,,,,,,,,0,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,32,Firing test,Functioning (Firing) of Cap,,32,,1,1,,,,,,,,0,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,8,Delay Proof ,Delay time (in µ Sec),,3000,3000,3000,,,,,,,,,8,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,8,Delay Proof ,Mean (in µ Sec),,2000,2000,2000,,,,,,,,,8,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,32,Rough Usage (Drop test),Sustaining of samples,,32,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Impact test,Sustaining of samples,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Jolt test,Sustaining of samples,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Initiation test (after impact test),Detonation & Piercing,,40,,2,,,,1,,,2,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Initiation test (after jolt test),Detonation & Piercing,,40,,2,,,,1,,,2,,0,,,
U-03,Primer Detonator A-30-T ,Reproof,STATIC,40,Initiation test (after impact/Jolt  test whereever single defect observed),Detonation & Piercing,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,Double Reproof,STATIC ,80,Initiation test (after impact/Jolt  test whereever double defect observed),Detonation & Piercing,,80,,1,1,,,,,,,,0,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Resistance Test ,Resistance in ohm,1,1,3.6,,,1,3.6,,,,,,8,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Resistance Test ,Resistance in ohm,1,3.6,3.6,,,1,3.6,,,,,,8,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Functioning delay test ,Delay Time in µ Sec,,4000,4000,4000,,,,,,,,,8,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Jolt Test,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from upper limit (after jolt test),Function along with piercing of bottom ,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from lower limit ,Non functioning of Detonator,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Impact Test,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from upper limit (after impact test),Function along with piercing of bottom ,99,99,,2,,,,2,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing with Duralumin pin,Function along with piercing of bottom ,99,99,,,,,,,,,2,,0,,,
U-03,Igniting Primer KB-3B ,Reproof,STATIC,100,Sensitivity to piercing from upper limit (after jolt test),Function along with piercing of bottom ,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,Reproof,STATIC,100,Sensitivity to piercing from lower limit ,Non functioning of Detonator,,100,,1,1,,,,,,,,0,,,
